n,k,id1,id2,time_no_mu,time_mu
100,1000,0,0,52.60193627001718,4.54557573585771
100,1000,0,1,0.03453270997852087,0.0972059341147542
100,1000,0,2,0.03494573989883065,0.09676893800497055
100,1000,0,3,0.03364429599605501,0.09697688603773713
100,1000,0,4,0.033543796045705676,0.12223861902020872
100,1000,0,5,0.03329779813066125,0.0963366290088743
100,1000,0,6,0.03428985085338354,0.09675021399743855
100,1000,0,7,0.035215373151004314,0.0980188159737736
100,1000,0,8,0.03604972502216697,0.09765836596488953
100,1000,0,9,0.0383896401617676,0.09799902304075658
100,1000,0,10,0.034981846110895276,0.09813442989252508
100,1000,0,11,0.03535741986706853,0.13936056499369442
100,1000,0,12,0.03480531205423176,0.09631522907875478
100,1000,0,13,0.034662817837670445,0.09654598007909954
100,1000,0,14,0.03310002409853041,0.0973554530646652
100,1000,0,15,0.035192630952224135,0.09782417211681604
100,1000,0,16,0.03533119591884315,0.09684760891832411
100,1000,0,17,0.03409235691651702,0.09638392506167293
100,1000,0,18,0.03545872797258198,0.09699192480184138
100,1000,0,19,0.03521057404577732,0.0998062239959836
100,1000,0,20,0.03454406978562474,0.09609473217278719
100,1000,0,21,0.034691242035478354,0.09735140902921557
100,1000,0,22,0.07582515594549477,0.09747609798796475
100,1000,0,23,0.03454322996549308,0.09607213106937706
100,1000,0,24,0.033930959878489375,0.09645549091510475
100,1000,0,25,0.03279099287465215,0.09612075192853808
100,1000,0,26,0.033031152095645666,0.0970344829838723
100,1000,0,27,0.03301828191615641,0.09647411806508899
100,1000,0,28,0.03354003117419779,0.09707563021220267
100,1000,0,29,0.0346859151031822,0.11966081196442246
100,1000,0,30,0.03419292997568846,0.0965888649225235
100,1000,0,31,0.03459960897453129,0.09600659203715622
100,1000,0,32,0.03376915003173053,0.09696038602851331
100,1000,0,33,0.0349926829803735,0.09610713296569884
100,1000,0,34,0.033953412901610136,0.09600310493260622
100,1000,0,35,0.03255354892462492,0.09587130579166114
100,1000,0,36,0.03300799801945686,0.1255503441207111
100,1000,0,37,0.03353505488485098,0.09600305301137269
100,1000,0,38,0.03297945996746421,0.09578950400464237
100,1000,0,39,0.03436639392748475,0.09646730590611696
100,1000,0,40,0.03531981399282813,0.0958871350158006
100,1000,0,41,0.03428396489471197,0.09575089113786817
100,1000,0,42,0.03426446788944304,0.09630450000986457
100,1000,0,43,0.03391258092597127,0.13920768816024065
100,1000,0,44,0.03421486588194966,0.09595666290260851
100,1000,0,45,0.03480767714791,0.09606007998809218
100,1000,0,46,0.03290920308791101,0.09625557600520551
100,1000,0,47,0.03448894084431231,0.0970248559024185
100,1000,0,48,0.032714169938117266,0.09589399793185294
100,1000,0,49,0.03305786312557757,0.09577077813446522
100,1000,1,1,1271.604062309023,4.532220293069258
100,1000,1,2,0.054956055944785476,0.09459635196253657
100,1000,1,3,0.032194050028920174,0.09464913397096097
100,1000,1,4,0.032971736043691635,0.09482568502426147
100,1000,1,5,0.03275823104195297,0.09461841499432921
100,1000,1,6,0.03396923397667706,0.09480332490056753
100,1000,1,7,0.03416319307871163,0.09507712512277067
100,1000,1,8,0.03424148983322084,0.09498298284597695
100,1000,1,9,0.0685716129373759,0.09532800689339638
100,1000,1,10,0.0338924250099808,0.09458617283962667
100,1000,1,11,0.0349105061031878,0.09450135985389352
100,1000,1,12,0.033606317127123475,0.09651287202723324
100,1000,1,13,0.03372060810215771,0.09486881899647415
100,1000,1,14,0.03483956400305033,0.09495534189045429
