n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
10,0,0,0.0361492729280144,0.0012565930373966694,1,1
10,0,1,0.031875777058303356,0.0011642749886959791,1,1
10,0,2,0.03254594001919031,0.0011007990688085556,1,1
10,0,3,0.03287470084615052,0.0010868669487535954,1,1
10,0,4,0.03145241388119757,0.0011037869844585657,1,1
10,0,5,0.03279596008360386,0.0011053010821342468,1,1
10,0,6,0.03201066516339779,0.0010966090485453606,1,1
10,0,7,0.030639792094007134,0.0011016870848834515,1,1
10,0,8,0.03177769202739,0.0010930751450359821,1,1
10,0,9,0.032074537826702,0.001088256947696209,1,1
10,0,10,0.03350470005534589,0.0011012798640877008,1,1
10,0,11,0.03233263688161969,0.0010908369440585375,1,1
10,0,12,0.03268829290755093,0.0014440929517149925,1,1
10,0,13,0.03197425394318998,0.001108699943870306,1,1
10,0,14,0.03207568498328328,0.001096612075343728,1,1
10,0,15,0.03144646598957479,0.0010909209959208965,1,1
10,0,16,0.032494787126779556,0.0010403839405626059,1,1
10,0,17,0.031605598982423544,0.0010915950406342745,1,1
10,0,18,0.03189554484561086,0.0010924451053142548,1,1
10,0,19,0.03196002193726599,0.0014409900177270174,1,1
10,0,20,0.03163672494702041,0.001253199065104127,1,1
10,0,21,0.0330748378764838,0.0011171819642186165,1,1
10,0,22,0.04753468791022897,0.0010978910140693188,1,1
10,0,23,0.032435782020911574,0.0010833579581230879,1,1
10,0,24,0.03185180714353919,0.0010887801181524992,1,1
10,0,25,0.032366946805268526,0.0010946718975901604,1,1
10,0,26,0.03238543216139078,0.0011242921464145184,1,1
10,0,27,0.031246705912053585,0.001080221962183714,1,1
10,0,28,0.031112889060750604,0.0010946921538561583,1,1
10,0,29,0.031071365112438798,0.001092356164008379,1,1
10,0,30,0.03269113809801638,0.001091234153136611,1,1
10,0,31,0.032555673038586974,0.0010876518208533525,1,1
10,0,32,0.03262342279776931,0.0011006849817931652,1,1
10,0,33,0.03234706004150212,0.0014355957973748446,1,1
10,0,34,0.03251105407252908,0.001104108989238739,1,1
10,0,35,0.0326565180439502,0.0010620651300996542,1,1
10,0,36,0.03195418114773929,0.0010863759089261293,1,1
10,0,37,0.03278410993516445,0.0011044531129300594,1,1
10,0,38,0.0319087749812752,0.00114161497913301,1,1
10,0,39,0.032149292062968016,0.0010509961284697056,1,1
10,0,40,0.03263416700065136,0.0018833039794117212,1,1
10,0,41,0.03253424493595958,0.0010882921051234007,1,1
10,0,42,0.033014328917488456,0.0011078258976340294,1,1
10,0,43,0.0328623631503433,0.0011366789694875479,1,1
10,0,44,0.03310622298158705,0.001129623968154192,1,1
10,0,45,0.03286443999968469,0.00113354017958045,1,1
10,0,46,0.03251580195501447,0.0010917829349637032,1,1
10,0,47,0.03317679790779948,0.0014861850067973137,1,1
10,0,48,0.03253263095393777,0.0011722368653863668,1,1
10,0,49,0.032795383827760816,0.0010976921766996384,1,1
10,0,50,0.032848098082467914,0.0010571619495749474,1,1
10,0,51,0.03206146392039955,0.0012875529937446117,1,1
10,0,52,0.03299908805638552,0.0011122568976134062,1,1
10,0,53,0.03248906694352627,0.0010877179447561502,1,1
10,0,54,0.032545719062909484,0.0014580499846488237,1,1
10,0,55,0.03187054581940174,0.0011140410788357258,1,1
10,0,56,0.031150781083852053,0.0010893901344388723,1,1
10,0,57,0.033599774120375514,0.0011078098323196173,1,1
10,0,58,0.031434067990630865,0.0010867968667298555,1,1
10,0,59,0.033040538197383285,0.0011080920230597258,1,1
10,0,60,0.031929834047332406,0.0010901358909904957,1,1
10,0,61,0.032569394912570715,0.0011060279794037342,1,1
10,0,62,0.03252559807151556,0.001095344079658389,1,1
10,0,63,0.03267958899959922,0.0010975778568536043,1,1
10,0,64,0.03252963302657008,0.0011100759729743004,1,1
10,0,65,0.03296474297530949,0.00109226000495255,1,1
10,0,66,0.032019768841564655,0.0010950060095638037,1,1
10,0,67,0.03180216904729605,0.0010832729749381542,1,1
10,0,68,0.03271544398739934,0.0011117050889879465,1,1
10,0,69,0.032163372030481696,0.001096633030101657,1,1
10,0,70,0.03215104294940829,0.001085994066670537,1,1
10,0,71,0.03300822805613279,0.0012711042072623968,1,1
10,0,72,0.031862793024629354,0.0011057730298489332,1,1
10,0,73,0.03286029910668731,0.0014431350864470005,1,1
10,0,74,0.032663010992109776,0.0010883030481636524,1,1
10,0,75,0.03205475606955588,0.0011061551049351692,1,1
10,0,76,0.03269312111660838,0.0010519770439714193,1,1
10,0,77,0.03223598003387451,0.0011040722019970417,1,1
10,0,78,0.03253027191385627,0.0010980849619954824,1,1
10,0,79,0.031900381902232766,0.0011222101747989655,1,1
10,0,80,0.03258878504857421,0.0014827561099082232,1,1
10,0,81,0.03251683688722551,0.001109774922952056,1,1
10,0,82,0.03249335987493396,0.001070363912731409,1,1
10,0,83,0.03203543205745518,0.0011216269340366125,1,1
10,0,84,0.03227494889870286,0.0010986479464918375,1,1
10,0,85,0.032528541050851345,0.0010941470973193645,1,1
10,0,86,0.03240879392251372,0.001097736181691289,1,1
