n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
100,10,0,80.55374811287038,0.12986739398911595,1,1
100,10,1,81.36531858495437,0.23900981922633946,1,1
100,10,2,82.3254178960342,0.16182686807587743,1,1
100,10,3,82.32039836305194,0.16239546914584935,1,1
100,10,4,78.68643260211684,0.0872618870344013,1,1
100,10,5,74.66075490508229,0.09940967592410743,1,1
100,10,6,78.03477430390194,0.26800995506346226,1,1
100,10,7,79.52896928414702,0.1642912169918418,1,1
100,10,8,75.50961376982741,0.1770021968986839,1,1
100,10,9,76.9383741908241,0.1757675800472498,1,1
100,10,10,75.4600011240691,0.0715810980182141,1,1
100,10,11,73.98138550692238,0.06339060585014522,1,1
100,10,12,75.81891239993274,0.14484340092167258,1,1
100,10,13,74.77444985695183,0.08947813394479454,1,1
100,10,14,74.55354992300272,0.11214594100601971,1,1
100,10,15,73.42632189905271,0.11528182215988636,1,1
100,10,16,75.17525829398073,0.16030476288869977,1,1
100,10,17,74.88772773416713,0.08684727316722274,1,1
100,10,18,73.64588338206522,0.13081974699161947,1,1
100,10,19,73.09461398096755,0.07292031100951135,1,1
100,10,20,76.01191851613112,0.0884206818882376,1,1
100,10,21,75.14491195697337,0.15401619905605912,1,1
100,10,22,74.73148133396171,0.15722117410041392,1,1
100,10,23,75.5274479049258,0.13343657017685473,1,1
100,10,24,74.62583408178762,0.10305287805385888,1,1
100,10,25,75.45554160000756,0.13243074691854417,1,1
100,10,26,75.17563265911303,0.11651635402813554,1,1
100,10,27,74.06318065105006,0.034153187181800604,1,1
100,10,28,76.15193191799335,0.15173286688514054,1,1
100,10,29,72.83530815783888,0.11480996198952198,1,1
100,10,30,74.93752633710392,0.07114170794375241,1,1
100,10,31,74.52157938899472,0.09668443002738059,1,1
100,10,32,75.33629517490044,0.09203158295713365,1,1
100,10,33,74.54728379892185,0.08121053106151521,1,1
100,10,34,74.35017729108222,0.08513927506282926,1,1
100,10,35,75.49648693902418,0.0930342881474644,1,1
100,10,36,74.75997453089803,0.08318820013664663,1,1
100,10,37,74.66380473598838,0.1659012499731034,1,1
100,10,38,74.96764657692984,0.21356465411372483,1,1
100,10,39,73.8444612910971,0.15494402893818915,1,1
100,10,40,73.78250702703372,0.04988600290380418,1,1
100,10,41,72.78560952004045,0.13706615916453302,1,1
100,10,42,79.26004497311078,0.10575308580882847,1,1
100,10,43,81.25622103502974,0.1421344589907676,1,1
100,10,44,75.95303581701592,0.19297499186359346,1,1
100,10,45,73.77871318394318,0.16986560891382396,1,1
100,10,46,75.04699317412451,0.12577478913590312,1,1
100,10,47,87.16660679597408,0.12472084793262184,1,1
100,10,48,93.12012630794197,0.16146287298761308,1,1
100,10,49,92.28652096702717,0.11700596916489303,1,1
100,10,50,92.36779536004178,0.0708438828587532,1,1
100,10,51,84.56625444209203,0.09152217698283494,1,1
100,10,52,92.45161059894599,0.16172982612624764,1,1
100,10,53,84.57885356293991,0.14212571899406612,1,1
100,10,54,89.29437174787745,0.10950240097008646,1,1
100,10,55,85.8869166849181,0.10638554696924984,1,1
100,10,56,90.51910480903462,0.1592306459788233,1,1
100,10,57,88.01987651293166,0.15928130596876144,1,1
100,10,58,81.54415741702542,0.047057634918019176,1,1
100,10,59,80.54490433516912,0.10183448111638427,1,1
100,10,60,80.40008474513888,0.182227241108194,1,1
100,10,61,82.75390534219332,0.07511163898743689,1,1
100,10,62,80.33587276004255,0.2002341749612242,1,1
100,10,63,90.90815955679864,0.11398899694904685,1,1
100,10,64,85.2830650571268,0.07900593499653041,1,1
100,10,65,83.45790081378073,0.14550006808713078,1,1
100,10,66,82.1971603659913,0.2415652449708432,1,1
100,10,67,84.03765125293285,0.12964529893361032,1,1
100,10,68,83.32013694080524,0.13216660707257688,1,1
100,10,69,79.60158330900595,0.20520932599902153,1,1
100,10,70,77.33276954619214,0.26276587788015604,1,1
100,10,71,75.45089082000777,0.10659016598947346,1,1
100,10,72,75.71617643395439,0.14226527302525938,1,1
100,10,73,76.4403632171452,0.09577659610658884,1,1
100,10,74,72.50018346006982,0.13710484583862126,1,1
100,10,75,72.3518134530168,0.13772446382790804,1,1
100,10,76,80.51083207502961,0.17505968478508294,1,1
100,10,77,83.4028380010277,0.08100079977884889,1,1
100,10,78,83.47652849112637,0.04452634905464947,1,1
100,10,79,73.9798727859743,0.0361198999453336,1,1
100,10,80,73.4388310329523,0.039962006034329534,1,1
100,10,81,76.46790755400434,0.11144950985908508,1,1
100,10,82,75.68968698522076,0.15290775313042104,1,1
100,10,83,73.63319635600783,0.1337708500213921,1,1
100,10,84,74.81533537479118,0.07529644994065166,1,1
100,10,85,75.53505836403929,0.11156877991743386,1,1
100,10,86,79.18677776795812,0.1330508291721344,1,1
100,10,87,84.7592142780777,0.15867975889705122,1,1
100,10,88,80.30105560901575,0.13798427395522594,1,1
100,10,89,84.08624388906173,0.18302749888971448,1,1
100,10,90,85.5656057849992,0.06574590783566236,1,1
100,10,91,73.61535653006285,0.052808690117672086,1,1
100,10,92,74.67860210780054,0.12721818895079195,1,1
100,10,93,70.8234854680486,0.0580762920435518,1,1
100,10,94,83.96376791293733,0.09712314116768539,1,1
100,10,95,77.1395675172098,0.1252089210320264,1,1
100,10,96,71.47710821707733,0.1461863680742681,1,1
100,10,97,71.53265461884439,0.09328749007545412,1,1
100,10,98,72.20889453287236,0.10663757706061006,1,1
100,10,99,75.60404265718535,0.08050010004080832,1,1
