n,k,id1,id2,time_no_mu,time_mu
50,10,0,0,0.019426135811954737,0.02262120903469622
50,10,0,1,0.003033153945580125,0.0065120968502014875
50,10,0,2,0.002771246014162898,0.006442036014050245
50,10,0,3,0.0031058548483997583,0.006144959945231676
50,10,0,4,0.0028267730958759785,0.006393292918801308
50,10,0,5,0.0027879660483449697,0.006717791082337499
50,10,0,6,0.0031576650217175484,0.006512404885143042
50,10,0,7,0.002806197851896286,0.006506945006549358
50,10,0,8,0.0032410710118710995,0.006211958825588226
50,10,0,9,0.0027688739355653524,0.008403992047533393
50,10,0,10,0.0027937409467995167,0.0064837331883609295
50,10,0,11,0.0029272730462253094,0.0064416141249239445
50,10,0,12,0.002690961118787527,0.00649648392572999
50,10,0,13,0.002974070142954588,0.0061060599982738495
50,10,0,14,0.003296186914667487,0.006460411008447409
50,10,0,15,0.0026747710071504116,0.006451575085520744
50,10,0,16,0.0026494450867176056,0.0063424501568078995
50,10,0,17,0.0027524051256477833,0.0065166999120265245
50,10,0,18,0.0037755270022898912,0.006086830981075764
50,10,0,19,0.003263314953073859,0.008462596917524934
50,10,0,20,0.0027510980144143105,0.006423470098525286
50,10,0,21,0.0029200490098446608,0.0063736040610820055
50,10,0,22,0.0029163158033043146,0.006518183974549174
50,10,0,23,0.003611910855397582,0.006177449831739068
50,10,0,24,0.002762401010841131,0.006417857017368078
50,10,0,25,0.0027860510163009167,0.006454711081460118
50,10,0,26,0.0026665839832276106,0.006437657866626978
50,10,0,27,0.0027695640455931425,0.006473550805822015
50,10,0,28,0.0031422139145433903,0.006238241912797093
50,10,0,29,0.0030810560565441847,0.008581924950703979
50,10,0,30,0.0026738049928098917,0.006411798065528274
50,10,0,31,0.0026648740749806166,0.00637156399898231
50,10,0,32,0.002676035976037383,0.0064859469421207905
50,10,0,33,0.0030971108935773373,0.006164085818454623
50,10,0,34,0.002809553872793913,0.0065196489449590445
50,10,0,35,0.002790195168927312,0.006673664087429643
50,10,0,36,0.002968092914670706,0.006461228942498565
50,10,0,37,0.0029505908023566008,0.006543966010212898
50,10,0,38,0.0031373081728816032,0.006192283006384969
50,10,0,39,0.0026679348666220903,0.00857265293598175
50,10,0,40,0.002941034035757184,0.00649469206109643
50,10,0,41,0.002788448939099908,0.006616317201405764
50,10,0,42,0.0026573410723358393,0.00645842682570219
50,10,0,43,0.003124693175777793,0.006149251013994217
50,10,0,44,0.003139134030789137,0.006422209087759256
50,10,0,45,0.002762380987405777,0.006406497908756137
50,10,0,46,0.0026855000760406256,0.006423128070309758
50,10,0,47,0.0026504818815737963,0.006746135884895921
50,10,0,48,0.0030522479210048914,0.006254335166886449
50,10,0,49,0.002802613889798522,0.008543480886146426
50,10,1,1,0.019275110913440585,0.02223323890939355
50,10,1,2,0.00278915511444211,0.006757468916475773
50,10,1,3,0.002782084047794342,0.0065684018190950155
50,10,1,4,0.0030881199054419994,0.00610129302367568
50,10,1,5,0.002863107016310096,0.006454535992816091
50,10,1,6,0.003082938026636839,0.006520238006487489
50,10,1,7,0.0027766029816120863,0.006468555890023708
50,10,1,8,0.0028662211261689663,0.0066763488575816154
50,10,1,9,0.003093067090958357,0.006177993956953287
50,10,1,10,0.0027931020595133305,0.008641951950266957
50,10,1,11,0.0028856380376964808,0.006497466936707497
50,10,1,12,0.0026773710269480944,0.0064800048712641
50,10,1,13,0.002667080145329237,0.006522755837067962
50,10,1,14,0.003700388129800558,0.006338002858683467
50,10,1,15,0.0026863450184464455,0.006503029027953744
50,10,1,16,0.0027120430022478104,0.006508728954941034
50,10,1,17,0.0028038108721375465,0.006487031001597643
50,10,1,18,0.0036384540144354105,0.006533317966386676
50,10,1,19,0.003811761038377881,0.006257505156099796
50,10,1,20,0.0029717020224779844,0.008653415832668543
50,10,1,21,0.0028760829009115696,0.006501737050712109
50,10,1,22,0.0028622217942029238,0.0064392490312457085
50,10,1,23,0.0038754569832235575,0.006497527007013559
50,10,1,24,0.0031011139508336782,0.006121004931628704
50,10,1,25,0.0027681568171828985,0.006477573188021779
50,10,1,26,0.0027028971817344427,0.006433028960600495
50,10,1,27,0.0027611409313976765,0.006443561986088753
50,10,1,28,0.0028079389594495296,0.006577475927770138
50,10,1,29,0.0034225820563733578,0.00622158101759851
50,10,1,30,0.0026603201404213905,0.00883298716507852
50,10,1,31,0.00268962187692523,0.025080918101593852
50,10,1,32,0.0026722608599811792,0.006469220155850053
50,10,1,33,0.0031043970957398415,0.006114541087299585
50,10,1,34,0.002829893957823515,0.006457765121012926
50,10,1,35,0.0028112761210650206,0.0065255071967840195
50,10,1,36,0.002898761071264744,0.0064410921186208725
50,10,1,37,0.0030993151012808084,0.006487949984148145
50,10,1,38,0.0031175538897514343,0.006135819014161825
50,10,1,39,0.002672575879842043,0.006522847106680274
50,10,1,40,0.002906280104070902,0.006473112851381302
50,10,1,41,0.0028062649071216583,0.008630146039649844
50,10,1,42,0.002677703043445945,0.006477743154391646
50,10,1,43,0.003129099030047655,0.006146135041490197
50,10,1,44,0.003077789908275008,0.006458121817559004
50,10,1,45,0.0027835958171635866,0.006446298910304904
50,10,1,46,0.0026658789720386267,0.006434703944250941
50,10,1,47,0.0026579839177429676,0.0065246038138866425
50,10,1,48,0.0029833721928298473,0.006149981869384646
50,10,1,49,0.0029657811392098665,0.006481271935626864
50,10,2,2,0.019716050010174513,0.024535618955269456
50,10,2,3,0.002768650185316801,0.006475559901446104
50,10,2,4,0.002750406041741371,0.006409273948520422
50,10,2,5,0.0028123168740421534,0.0064666010439395905
50,10,2,6,0.003046921920031309,0.00653470098040998
50,10,2,7,0.003114190883934498,0.006140372948721051
50,10,2,8,0.002923238091170788,0.006530528189614415
50,10,2,9,0.0027846249286085367,0.006406086962670088
50,10,2,10,0.002797072986140847,0.0064788858871907
50,10,2,11,0.002883265959098935,0.006735689006745815
50,10,2,12,0.0029787300154566765,0.006084991851821542
50,10,2,13,0.002659550867974758,0.006430169101804495
50,10,2,14,0.003154007950797677,0.006441727047786117
50,10,2,15,0.002668899018317461,0.0064350750762969255
50,10,2,16,0.0026879380457103252,0.0065546229016035795
50,10,2,17,0.0031083798967301846,0.006362827029079199
50,10,2,18,0.0032445029355585575,0.006520214956253767
50,10,2,19,0.003123197006061673,0.006494496949017048
50,10,2,20,0.0027772081084549427,0.006449448177590966
50,10,2,21,0.0028882299084216356,0.0065212498884648085
50,10,2,22,0.0032186240423470736,0.006088671972975135
50,10,2,23,0.0035144868306815624,0.006621266948059201
50,10,2,24,0.002778660971671343,0.006465280894190073
50,10,2,25,0.002779163885861635,0.006479186937212944
50,10,2,26,0.00266329781152308,0.006557747954502702
50,10,2,27,0.0031090611591935158,0.006159685784950852
50,10,2,28,0.0027666620444506407,0.0064840230625122786
50,10,2,29,0.003041391959413886,0.00641058711335063
50,10,2,30,0.0026659441646188498,0.006439209915697575
50,10,2,31,0.0026744899805635214,0.0065381701570004225
50,10,2,32,0.0030226511880755424,0.0060758828185498714
50,10,2,33,0.002739952877163887,0.006409213179722428
50,10,2,34,0.0028244820423424244,0.00641225092113018
50,10,2,35,0.002758396090939641,0.006407578010112047
50,10,2,36,0.0031036429572850466,0.006527110934257507
50,10,2,37,0.003194693010300398,0.006131042027845979
50,10,2,38,0.0027804470155388117,0.0064843830186873674
50,10,2,39,0.002683311002328992,0.006433555157855153
50,10,2,40,0.0028846501372754574,0.006423225160688162
50,10,2,41,0.0027769540902227163,0.006555969826877117
50,10,2,42,0.0029931929893791676,0.0062939939089119434
50,10,2,43,0.002837813924998045,0.006437711184844375
50,10,2,44,0.0031717619858682156,0.006442212034016848
50,10,2,45,0.0027976639103144407,0.006452267058193684
50,10,2,46,0.0027110620867460966,0.006597907980903983
50,10,2,47,0.0030436539091169834,0.006169138941913843
50,10,2,48,0.002695106901228428,0.00644712196663022
50,10,2,49,0.0028004751075059175,0.006539921974763274
50,10,3,3,0.019022376975044608,0.021885582944378257
50,10,3,4,0.0027601199690252542,0.006435811053961515
50,10,3,5,0.002760031959041953,0.00921273697167635
50,10,3,6,0.003300783922895789,0.0064901921432465315
50,10,3,7,0.0027858021203428507,0.006526238983497024
50,10,3,8,0.0031864899210631847,0.006159338168799877
50,10,3,9,0.002805941039696336,0.006561951944604516
50,10,3,10,0.0027855411171913147,0.0064886510372161865
50,10,3,11,0.002886479953303933,0.006466061109676957
50,10,3,12,0.0026768760289996862,0.006736767943948507
50,10,3,13,0.0029900181107223034,0.006101848091930151
50,10,3,14,0.0032772370614111423,0.006427656160667539
50,10,3,15,0.002684104023501277,0.008510441053658724
50,10,3,16,0.0026644638273864985,0.006427746033295989
50,10,3,17,0.002783666830509901,0.006524679949507117
50,10,3,18,0.0038236959371715784,0.006374129094183445
50,10,3,19,0.003292212961241603,0.006508553866297007
50,10,3,20,0.0027803201228380203,0.006476876093074679
50,10,3,21,0.0028777129482477903,0.006459433818235993
50,10,3,22,0.0028591349255293608,0.006523567019030452
50,10,3,23,0.004069336922839284,0.006150515982881188
50,10,3,24,0.0027660999912768602,0.006451352033764124
50,10,3,25,0.003033494111150503,0.008477834984660149
50,10,3,26,0.0026674980763345957,0.00645538792014122
50,10,3,27,0.00279459310695529,0.006569104036316276
50,10,3,28,0.003122021909803152,0.006151027046144009
50,10,3,29,0.0030348708387464285,0.006529835052788258
50,10,3,30,0.00267927092500031,0.00648790318518877
50,10,3,31,0.0026858102064579725,0.0065112910233438015
50,10,3,32,0.0026993739884346724,0.00658598612062633
50,10,3,33,0.003127126954495907,0.0062389010563492775
50,10,3,34,0.00283288792707026,0.006487433100119233
50,10,3,35,0.0027737049385905266,0.008053344208747149
50,10,3,36,0.0024189739488065243,0.005424269940704107
50,10,3,37,0.0024196929298341274,0.0054697219748049974
50,10,3,38,0.0026304021012037992,0.005122290924191475
50,10,3,39,0.002253518905490637,0.005466189002618194
50,10,3,40,0.002435071161016822,0.005435073049739003
50,10,3,41,0.0023367139510810375,0.005412467988207936
50,10,3,42,0.0022883168421685696,0.0055046239867806435
50,10,3,43,0.0026529489550739527,0.005162735003978014
50,10,3,44,0.002602569991722703,0.005443432833999395
50,10,3,45,0.0023327709641307592,0.007348119979724288
50,10,3,46,0.0022618439979851246,0.02238928386941552
50,10,3,47,0.0024751960299909115,0.0051286290399730206
50,10,3,48,0.0022675530053675175,0.00535418395884335
50,10,3,49,0.0023133319336920977,0.005411419086158276
50,10,4,4,0.015935661969706416,0.01813691481947899
50,10,4,5,0.0022893159184604883,0.005398051114752889
50,10,4,6,0.002379793906584382,0.005413275910541415
50,10,4,7,0.002252293052151799,0.0053535280749201775
50,10,4,8,0.0023000980727374554,0.005426759133115411
50,10,4,9,0.002277911873534322,0.007542315172031522
