n,k,id1,id2,time_no_mu,time_mu
50,0,0,0,0.01470005582086742,0.01571349101141095
50,0,0,1,0.002227518940344453,0.004877845989540219
50,0,0,2,0.002039095852524042,0.004849383141845465
50,0,0,3,0.002348728012293577,0.004911867901682854
50,0,0,4,0.002340452978387475,0.004952886840328574
50,0,0,5,0.002202264964580536,0.004798299167305231
50,0,0,6,0.0022592879831790924,0.00481320102699101
50,0,0,7,0.002208904130384326,0.004786917008459568
50,0,0,8,0.0020649509970098734,0.004797036061063409
50,0,0,9,0.0022724661976099014,0.004831433994695544
50,0,0,10,0.0020878210198134184,0.004776428919285536
50,0,0,11,0.002179072005674243,0.00485564605332911
50,0,0,12,0.0021082398016005754,0.005001662066206336
50,0,0,13,0.0020626999903470278,0.004810117185115814
50,0,0,14,0.00207051495090127,0.004835834028199315
50,0,0,15,0.0024436949752271175,0.0049849869683384895
50,0,0,16,0.002053143223747611,0.004824937088415027
50,0,0,17,0.0020584729500114918,0.00494755688123405
50,0,0,18,0.002060430124402046,0.004832759033888578
50,0,0,19,0.002093841088935733,0.004842265974730253
50,0,0,20,0.002194317989051342,0.004845649003982544
50,0,0,21,0.0021331310272216797,0.004857107065618038
50,0,0,22,0.0021713068708777428,0.004862654022872448
50,0,0,23,0.002057804958894849,0.005054747918620706
50,0,0,24,0.0022032358683645725,0.004919750848785043
50,0,0,25,0.0020655659027397633,0.00493072415702045
50,0,0,26,0.00205456605181098,0.004873627098277211
50,0,0,27,0.00206170417368412,0.004954861011356115
50,0,0,28,0.0026925839483737946,0.004882999928668141
50,0,0,29,0.0020515250507742167,0.00495518883690238
50,0,0,30,0.002050681971013546,0.004913595970720053
50,0,0,31,0.002103828825056553,0.004965591011568904
50,0,0,32,0.0023298789747059345,0.00500195799395442
50,0,0,33,0.002198365982621908,0.0048562169540673494
50,0,0,34,0.002217085100710392,0.004959875019267201
50,0,0,35,0.0025546650867909193,0.004836729960516095
50,0,0,36,0.0021345869172364473,0.004889640957117081
50,0,0,37,0.0020659298170357943,0.004843917908146977
50,0,0,38,0.002413119887933135,0.004858545958995819
50,0,0,39,0.002281725872308016,0.00490736193023622
50,0,0,40,0.0020969989709556103,0.005193998804315925
50,0,0,41,0.002110293135046959,0.0049285381101071835
50,0,0,42,0.002149120904505253,0.00478590396232903
50,0,0,43,0.0021146892104297876,0.004955314099788666
50,0,0,44,0.002075538970530033,0.004987261025235057
50,0,0,45,0.0020730060059577227,0.00483305100351572
50,0,0,46,0.002205705037340522,0.004842869006097317
50,0,0,47,0.002102704020217061,0.004960606107488275
50,0,0,48,0.00212519196793437,0.005059028044342995
50,0,0,49,0.0020640059374272823,0.004837986081838608
50,0,1,1,0.01369656017050147,0.015721216797828674
50,0,1,2,0.002053540199995041,0.004916190868243575
50,0,1,3,0.002294788835570216,0.004789591068401933
50,0,1,4,0.002321111038327217,0.0047988081350922585
50,0,1,5,0.0021840159315615892,0.004812764935195446
50,0,1,6,0.0022650640457868576,0.005075325956568122
50,0,1,7,0.0022167509887367487,0.004802013980224729
50,0,1,8,0.002046799985691905,0.004817954963073134
50,0,1,9,0.002189201069995761,0.004829735960811377
50,0,1,10,0.002120566088706255,0.004813009174540639
50,0,1,11,0.00210290914401412,0.0049498609732836485
50,0,1,12,0.0021008499898016453,0.004781795898452401
50,0,1,13,0.00207449309527874,0.004817577078938484
50,0,1,14,0.0020522528793662786,0.0048179710283875465
50,0,1,15,0.002217301167547703,0.004778299946337938
50,0,1,16,0.0021181730553507805,0.004881817847490311
50,0,1,17,0.0020721349865198135,0.004833802115172148
50,0,1,18,0.002059760969132185,0.0048182879108935595
50,0,1,19,0.0021254669409245253,0.0048924589063972235
50,0,1,20,0.0022815680131316185,0.004976460011675954
50,0,1,21,0.002146140905097127,0.004953813040629029
50,0,1,22,0.0021767790894955397,0.005029959138482809
50,0,1,23,0.0020583798177540302,0.004939364036545157
50,0,1,24,0.0022979809436947107,0.004986961837857962
50,0,1,25,0.0020604790188372135,0.0049516879953444
50,0,1,26,0.0021307459101080894,0.004899593070149422
50,0,1,27,0.0021289391443133354,0.004816845990717411
50,0,1,28,0.0029114328790456057,0.004888605093583465
50,0,1,29,0.0020467150025069714,0.004811852006241679
50,0,1,30,0.002077223965898156,0.0048365420661866665
50,0,1,31,0.0021162841003388166,0.004844660870730877
