n,k,id1,id2,time_no_mu,time_mu
100,100,0,0,0.1476486010942608,0.15583419194445014
100,100,0,1,0.0070795288775116205,0.022411772049963474
100,100,0,2,0.006972884992137551,0.02030009590089321
100,100,0,3,0.0075254240073263645,0.022509224945679307
100,100,0,4,0.007000465877354145,0.020453655859455466
100,100,0,5,0.007255431031808257,0.022599854040890932
100,100,0,6,0.007125145057216287,0.02076562400907278
100,100,0,7,0.007059861905872822,0.022501655854284763
100,100,0,8,0.0071518030017614365,0.02041148510761559
100,100,0,9,0.007678586058318615,0.022595037939026952
100,100,0,10,0.007971151964738965,0.02029485604725778
100,100,0,11,0.0070783100090920925,0.022485946072265506
100,100,0,12,0.007387527963146567,0.020484874956309795
100,100,0,13,0.007295890944078565,0.022893846966326237
100,100,0,14,0.007664446951821446,0.02054099296219647
100,100,0,15,0.007280350895598531,0.0226723060477525
100,100,0,16,0.0072298559825867414,0.020452110096812248
100,100,0,17,0.007511152885854244,0.02006101794540882
100,100,0,18,0.0071437719743698835,0.02045280789025128
100,100,0,19,0.007057633949443698,0.01978121418505907
100,100,0,20,0.007134307874366641,0.020142418099567294
100,100,0,21,0.007666304940357804,0.019928643945604563
100,100,0,22,0.007016633870080113,0.020235129864886403
100,100,0,23,0.006919364910572767,0.020183874061331153
100,100,0,24,0.007069366984069347,0.020271505927667022
100,100,0,25,0.007772004930302501,0.02004899294115603
100,100,0,26,0.007517026038840413,0.02035263879224658
100,100,0,27,0.007860888028517365,0.020126257091760635
100,100,0,28,0.0070278949569910765,0.020359627902507782
100,100,0,29,0.00716363312676549,0.0200630989857018
100,100,0,30,0.0073500219732522964,0.020273617934435606
100,100,0,31,0.007637812988832593,0.020200065802782774
100,100,0,32,0.007167905103415251,0.020352449966594577
100,100,0,33,0.007777057122439146,0.020235911943018436
100,100,0,34,0.007180863060057163,0.02024494018405676
100,100,0,35,0.007244003005325794,0.020508575020357966
100,100,0,36,0.007211918942630291,0.02036289288662374
100,100,0,37,0.007316851057112217,0.0201095889788121
100,100,0,38,0.007086758967489004,0.020473635056987405
100,100,0,39,0.007325175916776061,0.020172390853986144
100,100,0,40,0.007725381059572101,0.0203935569152236
100,100,0,41,0.007964463904500008,0.019941707141697407
100,100,0,42,0.007025021128356457,0.020182971144095063
100,100,0,43,0.007020778954029083,0.020400574197992682
100,100,0,44,0.006980061996728182,0.020310808904469013
100,100,0,45,0.0073618360329419374,0.020215931115671992
100,100,0,46,0.00716252694837749,0.020307605853304267
100,100,0,47,0.007060772972181439,0.02022127714008093
100,100,0,48,0.007047438994050026,0.020298566902056336
100,100,0,49,0.006947512039914727,0.020055995089933276
100,100,1,1,0.14192739501595497,0.15137990307994187
100,100,1,2,0.007062826072797179,0.022561143850907683
100,100,1,3,0.00784069811925292,0.02038503298535943
100,100,1,4,0.00700997794046998,0.02257293206639588
100,100,1,5,0.007370950886979699,0.020558779826387763
100,100,1,6,0.007740841945633292,0.02270420198328793
100,100,1,7,0.007122769020497799,0.02046034298837185
100,100,1,8,0.0073574630077928305,0.02331129414960742
100,100,1,9,0.007984268013387918,0.020356629975140095
100,100,1,10,0.007802717154845595,0.02281239489093423
100,100,1,11,0.007107445038855076,0.020485742017626762
100,100,1,12,0.00776727101765573,0.020211184863001108
100,100,1,13,0.007315798895433545,0.020444481866434216
100,100,1,14,0.007986677112057805,0.020251354901120067
100,100,1,15,0.0071178588550537825,0.020632630912587047
100,100,1,16,0.007229506969451904,0.020069303922355175
100,100,1,17,0.007933150045573711,0.02038395102135837
100,100,1,18,0.007111353101208806,0.020209557143971324
100,100,1,19,0.007065556012094021,0.020339569076895714
100,100,1,20,0.007057342911139131,0.02034107595682144
100,100,1,21,0.007946772035211325,0.02048253291286528
100,100,1,22,0.007171818986535072,0.020122350892052054
100,100,1,23,0.007138276007026434,0.020291686989367008
100,100,1,24,0.007107061101123691,0.020070484140887856
100,100,1,25,0.0070550700183957815,0.02049714094027877
100,100,1,26,0.0078023329842835665,0.0200975330080837
100,100,1,27,0.00828762911260128,0.020421657944098115
100,100,1,28,0.007125582080334425,0.019981183111667633
100,100,1,29,0.00716245686635375,0.0203429211396724
100,100,1,30,0.007972607854753733,0.020186025882139802
100,100,1,31,0.008327557938173413,0.020328626967966557
100,100,1,32,0.007259130012243986,0.020225125132128596
100,100,1,33,0.008109468035399914,0.0203287610784173
100,100,1,34,0.007529869908466935,0.020099984016269445
100,100,1,35,0.007960713934153318,0.020419440930709243
100,100,1,36,0.0072835469618439674,0.020325693069025874
100,100,1,37,0.008071101969107985,0.02014355710707605
100,100,1,38,0.007135557942092419,0.020284343976527452
100,100,1,39,0.007969042984768748,0.020238314988091588
100,100,1,40,0.007759734056890011,0.020326492143794894
100,100,1,41,0.009047459112480283,0.02028183196671307
100,100,1,42,0.007041390053927898,0.02048260113224387
100,100,1,43,0.007065467070788145,0.020346173085272312
100,100,1,44,0.007068980950862169,0.020321061834692955
100,100,1,45,0.00708534405566752,0.02020468981936574
100,100,1,46,0.00728683709166944,0.020267580868676305
100,100,1,47,0.007213582051917911,0.020395925967022777
100,100,1,48,0.007085341028869152,0.02026171889156103
100,100,1,49,0.007175547070801258,0.020360484952107072
100,100,2,2,0.31054494297131896,0.15723278210498393
100,100,2,3,0.007607217878103256,0.020251807989552617
100,100,2,4,0.0070467800833284855,0.02248522685840726
100,100,2,5,0.007209545001387596,0.02033306285738945
100,100,2,6,0.007181786000728607,0.022792008938267827
100,100,2,7,0.0071276770904660225,0.020250982139259577
100,100,2,8,0.00730714900419116,0.020374461077153683
100,100,2,9,0.0075460129883140326,0.020247102016583085
100,100,2,10,0.007499702041968703,0.02036553411744535
100,100,2,11,0.007139443187043071,0.02019177400507033
100,100,2,12,0.007632458815351129,0.020462174201384187
100,100,2,13,0.007248101988807321,0.020342555129900575
100,100,2,14,0.0077780301216989756,0.020247814944013953
100,100,2,15,0.007025003898888826,0.020406789844855666
100,100,2,16,0.00718061113730073,0.02033418300561607
100,100,2,17,0.007958781905472279,0.020308766048401594
100,100,2,18,0.007106011966243386,0.020159723004326224
100,100,2,19,0.0070908041670918465,0.02042973693460226
100,100,2,20,0.0070643669459968805,0.02018653484992683
100,100,2,21,0.007614598143845797,0.020333410007879138
100,100,2,22,0.007077133981510997,0.020320646930485964
100,100,2,23,0.007171940058469772,0.02023160387761891
100,100,2,24,0.007057921960949898,0.020340273855254054
100,100,2,25,0.0070638759061694145,0.020408271811902523
100,100,2,26,0.007470653159543872,0.020305121084675193
100,100,2,27,0.007622981909662485,0.020431406097486615
100,100,2,28,0.007008278975263238,0.020316499983891845
100,100,2,29,0.007117906818166375,0.02042952785268426
100,100,2,30,0.007361414842307568,0.020764897111803293
100,100,2,31,0.007807467132806778,0.020301925018429756
100,100,2,32,0.007173493038862944,0.020620083203539252
100,100,2,33,0.007641547825187445,0.020439211977645755
100,100,2,34,0.007267212960869074,0.020368525991216302
100,100,2,35,0.007222369080409408,0.020269214874133468
100,100,2,36,0.0072473580949008465,0.02040099003352225
100,100,2,37,0.007537023862823844,0.02052232506684959
100,100,2,38,0.0070006391033530235,0.02022172906436026
100,100,2,39,0.007324147969484329,0.02016784204170108
100,100,2,40,0.007448673946782947,0.020257245982065797
100,100,2,41,0.008048299001529813,0.020365614909678698
100,100,2,42,0.007009184919297695,0.0205651568248868
100,100,2,43,0.007060660980641842,0.02035319316200912
100,100,2,44,0.007004501996561885,0.020369385136291385
100,100,2,45,0.007131550926715136,0.020264092832803726
100,100,2,46,0.007163260830566287,0.02034887601621449
100,100,2,47,0.00717249303124845,0.020507255103439093
100,100,2,48,0.0070796930231153965,0.020286722108721733
100,100,2,49,0.007225011009722948,0.020258417120203376
100,100,3,3,0.1438536481000483,0.16914384090341628
100,100,3,4,0.007493022130802274,0.020367207005620003
100,100,3,5,0.007108607096597552,0.02010942902415991
100,100,3,6,0.007320477161556482,0.020282767014577985
100,100,3,7,0.00716809113509953,0.02019395399838686
100,100,3,8,0.0072759841568768024,0.02043108199723065
100,100,3,9,0.0075693579856306314,0.020280682016164064
100,100,3,10,0.008019842905923724,0.020356935914605856
100,100,3,11,0.007114683045074344,0.020046083955094218
100,100,3,12,0.007510642055422068,0.020407849922776222
100,100,3,13,0.007068030070513487,0.01998980506323278
100,100,3,14,0.007863420993089676,0.020620764000341296
100,100,3,15,0.007052985951304436,0.020067466888576746
100,100,3,16,0.00739341601729393,0.020470848074182868
100,100,3,17,0.007478808984160423,0.02011578786186874
100,100,3,18,0.00725036789663136,0.020529984030872583
100,100,3,19,0.007118672132492065,0.02022715099155903
100,100,3,20,0.0071679069660604,0.020321103977039456
100,100,3,21,0.007558753015473485,0.020210526883602142
100,100,3,22,0.0071423950139433146,0.020315951900556684
100,100,3,23,0.007021426921710372,0.020199619932100177
100,100,3,24,0.007186064962297678,0.02037963387556374
100,100,3,25,0.007044508121907711,0.020202329149469733
100,100,3,26,0.007968092104420066,0.020396795123815536
100,100,3,27,0.0077448689844459295,0.020262744976207614
100,100,3,28,0.007193166995421052,0.02025628089904785
100,100,3,29,0.007069560931995511,0.020165837137028575
100,100,3,30,0.0073837218806147575,0.02028043195605278
100,100,3,31,0.007938029943034053,0.020552483154460788
100,100,3,32,0.007213748060166836,0.02038818900473416
100,100,3,33,0.007681866874918342,0.02041862509213388
100,100,3,34,0.007195262936875224,0.02016249787993729
100,100,3,35,0.007421713089570403,0.020225133979693055
100,100,3,36,0.0072100479155778885,0.020514871925115585
100,100,3,37,0.007458103122189641,0.020325362915173173
100,100,3,38,0.0071102099027484655,0.020307036116719246
100,100,3,39,0.007247979985550046,0.020261486992239952
100,100,3,40,0.007815917022526264,0.020405830116942525
100,100,3,41,0.0091086660977453,0.020491076167672873
100,100,3,42,0.007050298852846026,0.020120852859690785
100,100,3,43,0.007119946181774139,0.020349565893411636
100,100,3,44,0.007053476991131902,0.020339198876172304
100,100,3,45,0.007103573065251112,0.020322814816609025
100,100,3,46,0.007274957839399576,0.02032132400199771
100,100,3,47,0.007061210926622152,0.02035950217396021
100,100,3,48,0.007274754112586379,0.020385707961395383
100,100,3,49,0.00713688600808382,0.020256703021004796
100,100,4,4,0.21294285403564572,0.15405299398116767
100,100,4,5,0.007125498028472066,0.020443615969270468
100,100,4,6,0.007185694063082337,0.020490820053964853
100,100,4,7,0.007051737047731876,0.020371149061247706
100,100,4,8,0.007248830050230026,0.02066017407923937
100,100,4,9,0.0074425870552659035,0.020261271856725216
100,100,4,10,0.007352277869358659,0.020327141974121332
100,100,4,11,0.007025071885436773,0.020472481846809387
100,100,4,12,0.007389516104012728,0.02027360093779862
100,100,4,13,0.007161217043176293,0.020490736002102494
100,100,4,14,0.007641415111720562,0.020418302156031132
