n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
10,100,0,327.77513419208117,11.529470522189513,1,1
10,100,1,316.5351960367989,10.125566357048228,1,1
10,100,2,313.7781210739631,14.055565216112882,1,1
10,100,3,300.381409463007,5.140173763036728,1,1
10,100,4,310.66375719499774,6.364594765007496,1,1
10,100,5,296.0895117369946,10.366956790909171,1,1
10,100,6,305.8594460601453,8.138165778014809,1,1
10,100,7,297.3695005411282,5.77248042402789,1,1
10,100,8,293.71666448400356,12.215896752895787,1,1
10,100,9,298.4973825039342,7.844700026093051,1,1
10,100,10,307.57783457497135,6.93282616394572,1,1
10,100,11,303.4779549811501,9.683461921056733,1,1
10,100,12,378.88150368002243,7.530918354168534,1,1
10,100,13,353.0594486189075,12.04910774412565,1,1
10,100,14,354.662668670062,7.948490011971444,1,1
10,100,15,347.27224555192515,9.01408383785747,1,1
10,100,16,339.5761639389675,20.534439144888893,1,1
10,100,17,316.07941473205574,11.200433653080836,1,1
10,100,18,316.37493897997774,20.405974210007116,1,1
10,100,19,325.5037641809322,6.909517765976489,1,1
10,100,20,299.13270175503567,12.10096792690456,1,1
10,100,21,338.9308630791493,9.005962719907984,1,1
10,100,22,310.8882390980143,8.895567087922245,1,1
10,100,23,299.20748872892,12.190654148114845,1,1
10,100,24,312.7600397360511,7.62088515679352,1,1
10,100,25,312.5871716539841,8.720442831050605,1,1
10,100,26,306.9608554318547,5.444682004861534,1,1
10,100,27,320.93964866315946,8.594800104852766,1,1
10,100,28,290.94622832303867,6.554011748172343,1,1
10,100,29,305.3948939719703,15.745570603990927,1,1
10,100,30,333.1656275689602,6.626672287937254,1,1
10,100,31,294.09120611683466,6.121267779963091,1,1
10,100,32,292.95495966100134,6.083096357993782,1,1
10,100,33,323.6685453518294,13.499703278997913,1,1
10,100,34,337.1204526850488,6.724736817879602,1,1
10,100,35,331.982682795031,9.11086792498827,1,1
10,100,36,347.09900922095403,6.72269770805724,1,1
10,100,37,342.84565773489885,13.334872290026397,1,1
10,100,38,349.2126596760936,10.641330653103068,1,1
10,100,39,325.0778460712172,6.582332205958664,1,1
10,100,40,341.5994480291847,9.29813276603818,1,1
10,100,41,322.0593454549089,8.825503531843424,1,1
10,100,42,328.99212853680365,10.189936116104946,1,1
10,100,43,312.6058269678615,8.83048001700081,1,1
10,100,44,326.9904926940799,6.92886866396293,1,1
10,100,45,337.9341149709653,10.772802785038948,1,1
10,100,46,333.5989926320035,14.254142868099734,1,1
10,100,47,325.92359407106414,10.021631891839206,1,1
10,100,48,324.05800179205835,16.89630798995495,1,1
10,100,49,322.48973417514935,9.874945871066302,1,1
10,100,50,316.71849098592065,8.707343370188028,1,1
10,100,51,317.3452877488453,33.072834027931094,1,1
10,100,52,325.4009129300248,13.102005027001724,1,1
10,100,53,322.2752854269929,9.771160279866308,1,1
10,100,54,317.94812765787356,8.766023453092203,1,1
10,100,55,352.2534947870299,7.2449744150508195,1,1
10,100,56,355.32288692099974,26.858908757101744,1,1
10,100,57,365.39177483995445,37.83588405000046,1,1
10,100,58,333.0678674748633,13.053215288789943,1,1
10,100,59,332.82880687201396,4.259521306026727,1,1
10,100,60,329.174504050985,6.730457004159689,1,1
10,100,61,312.3728384731803,9.32603398989886,1,1
10,100,62,288.5328954239376,11.454884771024808,1,1
10,100,63,312.4437834729906,6.967451360076666,1,1
10,100,64,330.74721758509986,8.487352683208883,1,1
10,100,65,321.4796315319836,6.4716905830428,1,1
10,100,66,323.6143411549274,11.834654775913805,1,1
10,100,67,323.5677520921454,12.71127277892083,1,1
10,100,68,292.37084975489415,6.206534687196836,1,1
10,100,69,273.004464925034,7.628403355134651,1,1
10,100,70,264.6378621549811,9.407709029037505,1,1
10,100,71,282.5896845359821,10.797308857087046,1,1
10,100,72,262.2995694221463,6.589442796073854,1,1
10,100,73,270.74148569698445,7.739670701092109,1,1
10,100,74,277.47613322385587,16.365032573929057,1,1
10,100,75,271.6081656590104,9.794651469914243,1,1
10,100,76,266.392988453852,4.336503240978345,1,1
10,100,77,284.1846317190211,8.317964844871312,1,1
10,100,78,276.94033916597255,7.2113962029106915,1,1
10,100,79,275.60066704195924,10.64483911008574,1,1
10,100,80,268.364237268921,9.14993191184476,1,1
10,100,81,276.5883023501374,6.495591756189242,1,1
10,100,82,284.52748375106603,5.390988982981071,1,1
10,100,83,284.31053630891256,7.761984147131443,1,1
10,100,84,275.98351008212194,9.62674327683635,1,1
10,100,85,261.8289914338384,4.02488497691229,1,1
10,100,86,273.6939178928733,5.7755202788393945,1,1
10,100,87,269.65259194001555,7.4377609610091895,1,1
10,100,88,280.86254568002187,7.807267548982054,1,1
10,100,89,285.3886589000467,7.984262581914663,1,1
10,100,90,278.0008582880255,19.38988556084223,1,1
10,100,91,263.1117195689585,5.087677507894114,1,1
10,100,92,266.37609628913924,6.45436448417604,1,1
10,100,93,273.78540259506553,19.379174483008683,1,1
10,100,94,276.2704218600411,10.138152042170987,1,1
10,100,95,273.5981521140784,6.1904654540121555,1,1
10,100,96,283.6693106049206,10.782142156967893,1,1
10,100,97,274.30755233298987,6.097456621006131,1,1
10,100,98,260.4737694528885,9.626253618858755,1,1
10,100,99,275.8101853050757,6.517897466896102,1,1
