n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
100,50,0,418.2576406521257,1.7158766640350223,1,1
100,50,1,389.5737720520701,1.482119734864682,1,1
100,50,2,372.70707512204535,1.199523146962747,1,1
100,50,3,366.4349340959452,1.3028479157947004,1,1
100,50,4,379.14143587998115,2.004366571083665,1,1
100,50,5,372.117417098023,1.277781767072156,1,1
100,50,6,363.9727013751399,1.248052255017683,1,1
100,50,7,375.38642065110616,1.1701077711768448,1,1
100,50,8,362.2116117379628,1.4743602129165083,1,1
100,50,9,381.93876004708,1.5121465530246496,1,1
100,50,10,429.17452340200543,3.39710527099669,1,1
100,50,11,430.41785736288875,2.359202235005796,1,1
100,50,12,428.8414936468471,0.9572272279765457,1,1
100,50,13,418.29378998302855,1.7148063441272825,1,1
100,50,14,412.2710666481871,1.5492308510001749,1,1
100,50,15,385.26706490293145,1.2013557141181082,1,1
100,50,16,402.62077155709267,1.7270356849767268,1,1
100,50,17,392.0161289200187,1.3229004999157041,1,1
100,50,18,415.2553679840639,1.929112201090902,1,1
100,50,19,370.3731198690366,1.395609200000763,1,1
