n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
50,0,0,4.696911878883839,0.0073783970437943935,1,1
50,0,1,4.705521665979177,0.006861978909000754,1,1
50,0,2,4.720921336906031,0.006852337857708335,1,1
50,0,3,4.787274101050571,0.007088599028065801,1,1
50,0,4,4.765925953863189,0.0071103370282799006,1,1
50,0,5,4.748251233017072,0.007053909823298454,1,1
50,0,6,4.800759972073138,0.007027766900137067,1,1
50,0,7,4.701825333060697,0.007294548908248544,1,1
50,0,8,4.796291299164295,0.006839624140411615,1,1
50,0,9,4.795470959041268,0.006947878981009126,1,1
50,0,10,4.735650763148442,0.006953909061849117,1,1
50,0,11,4.825976884225383,0.007087289821356535,1,1
50,0,12,4.855467881076038,0.0071114059537649155,1,1
50,0,13,4.78415593598038,0.007035291055217385,1,1
50,0,14,4.839791632024571,0.00683668302372098,1,1
50,0,15,4.805310463998467,0.007076915819197893,1,1
50,0,16,4.664061568211764,0.006832247832790017,1,1
50,0,17,4.729579355800524,0.0068147198762744665,1,1
50,0,18,4.82915598503314,0.0071757331024855375,1,1
50,0,19,4.7649081570561975,0.006813583895564079,1,1
50,0,20,4.844088373007253,0.007085012039169669,1,1
50,0,21,4.683829091954976,0.007053975947201252,1,1
50,0,22,4.731103252153844,0.007165707880631089,1,1
50,0,23,4.7740891019348055,0.007164341164752841,1,1
50,0,24,4.867617843206972,0.007104041054844856,1,1
50,0,25,4.837056185118854,0.007073304150253534,1,1
50,0,26,4.678211184917018,0.006855726009234786,1,1
50,0,27,4.733557241968811,0.006908257957547903,1,1
50,0,28,4.6845035690348595,0.007112977094948292,1,1
50,0,29,4.782887493027374,0.006857642903923988,1,1
50,0,30,4.742858112091199,0.007083205971866846,1,1
50,0,31,4.764642761088908,0.007169807096943259,1,1
50,0,32,4.783673834055662,0.007147053023800254,1,1
50,0,33,4.819363649003208,0.0068809459917247295,1,1
50,0,34,4.579773567151278,0.00678654108196497,1,1
50,0,35,4.646896317834035,0.006873646983876824,1,1
50,0,36,4.703393719857559,0.007147844880819321,1,1
50,0,37,4.603090666932985,0.0068452260456979275,1,1
50,0,38,4.614370728842914,0.006803991971537471,1,1
50,0,39,4.656364522874355,0.006837890949100256,1,1
50,0,40,4.607879195827991,0.00790171604603529,1,1
50,0,41,4.603022695053369,0.00689326599240303,1,1
50,0,42,4.668172262143344,0.006860501132905483,1,1
50,0,43,4.644975645001978,0.0069380030035972595,1,1
50,0,44,4.524497793987393,0.0068485981319099665,1,1
50,0,45,4.567043998977169,0.006468001985922456,1,1
50,0,46,4.522832772927359,0.006634637014940381,1,1
50,0,47,4.526021484984085,0.006625365931540728,1,1
50,0,48,4.5585345779545605,0.0064578300807625055,1,1
50,0,49,4.52874522889033,0.006386187160387635,1,1
50,0,50,4.491027856012806,0.006410751957446337,1,1
50,0,51,4.504070106195286,0.006467672064900398,1,1
50,0,52,4.403878682060167,0.006630687043070793,1,1
50,0,53,4.534208565950394,0.006644921842962503,1,1
50,0,54,4.5528635499067605,0.006456936942413449,1,1
50,0,55,4.579475342063233,0.0064023619052022696,1,1
50,0,56,4.578630075091496,0.006774922134354711,1,1
50,0,57,4.519791717175394,0.006578800966963172,1,1
50,0,58,4.4581635689828545,0.00641934503801167,1,1
50,0,59,4.391730433097109,0.006584160029888153,1,1
50,0,60,4.5326984422281384,0.008021089946851134,1,1
50,0,61,4.508814219851047,0.006653194781392813,1,1
50,0,62,4.528943555895239,0.006502110976725817,1,1
50,0,63,4.520953463157639,0.006503402953967452,1,1
50,0,64,4.561926712980494,0.006654141005128622,1,1
50,0,65,4.471166665200144,0.006691561080515385,1,1
50,0,66,4.49078635382466,0.006630309857428074,1,1
50,0,67,4.461970987962559,0.006396277109161019,1,1
50,0,68,4.448509142966941,0.006390464957803488,1,1
50,0,69,4.533544249134138,0.006481195101514459,1,1
50,0,70,4.487827390199527,0.006706206826493144,1,1
50,0,71,4.508085490902886,0.006448692176491022,1,1
50,0,72,4.4046860409434885,0.007668389938771725,1,1
50,0,73,4.471905447077006,0.0065359019208699465,1,1
50,0,74,4.584724779939279,0.006698851007968187,1,1
50,0,75,4.4902050090022385,0.006529391976073384,1,1
50,0,76,4.447585908928886,0.006533784093335271,1,1
50,0,77,4.529603415168822,0.006730071967467666,1,1
50,0,78,4.519378699827939,0.006432865047827363,1,1
50,0,79,4.510140297934413,0.006651972886174917,1,1
50,0,80,4.531390868127346,0.006883648922666907,1,1
50,0,81,4.4807125211227685,0.006464403122663498,1,1
50,0,82,4.542533305007964,0.006401255028322339,1,1
50,0,83,4.483045204076916,0.006748955929651856,1,1
50,0,84,4.562472588149831,0.006759492913261056,1,1
50,0,85,4.436398019082844,0.007806884823367,1,1
50,0,86,4.554073880193755,0.006648728158324957,1,1
50,0,87,4.623724836157635,0.006552899954840541,1,1
50,0,88,4.529034041101113,0.006765431025996804,1,1
50,0,89,4.469384767115116,0.0063701721373945475,1,1
50,0,90,4.501915684202686,0.0063134420197457075,1,1
50,0,91,4.429775742115453,0.006363807013258338,1,1
50,0,92,4.377949358196929,0.006342974957078695,1,1
50,0,93,4.424787069903687,0.006656744051724672,1,1
50,0,94,4.48661798494868,0.0065823569893836975,1,1
50,0,95,4.437351227970794,0.006615576101467013,1,1
50,0,96,4.4295892550144345,0.006356205092743039,1,1
50,0,97,4.308972798055038,0.006606213981285691,1,1
50,0,98,4.478168742964044,0.006348731927573681,1,1
50,0,99,4.457378698978573,0.006508535938337445,1,1
