n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
100,100,0,1535.2463661981747,7.027062778826803,1,1
100,100,1,1438.011212687008,5.730166443157941,1,1
100,100,2,1558.8447215277702,6.53132168808952,1,1
100,100,3,1569.4752114631701,6.747012718115002,1,1
100,100,4,1511.6601390598807,6.4210777340922505,1,1
100,100,5,1446.986776001053,8.391202467959374,1,1
100,100,6,1479.0921995521057,8.042150863911957,1,1
100,100,7,1457.5685999270063,6.694104098016396,1,1
100,100,8,1580.9517332119867,7.185067342128605,1,1
100,100,9,1596.1864257119596,6.576102961087599,1,1
