n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
50,10,0,12.536222195951268,0.049851339077576995,1,1
50,10,1,12.788959097117186,0.08209782605990767,1,1
50,10,2,13.076240200083703,0.04275581403635442,1,1
50,10,3,12.859869702951983,0.0631322090048343,1,1
50,10,4,12.496522944886237,0.03365014190785587,1,1
50,10,5,12.577019884018227,0.026814613956958055,1,1
50,10,6,12.723122752038762,0.05355816800147295,1,1
50,10,7,13.004951276816428,0.06188847520388663,1,1
50,10,8,12.962802371010184,0.02430911106057465,1,1
50,10,9,12.3488676820416,0.06757216202095151,1,1
50,10,10,12.435097568901256,0.04639177187345922,1,1
50,10,11,12.043655385030434,0.08073867717757821,1,1
50,10,12,12.645084220916033,0.11801331117749214,1,1
50,10,13,12.104885136941448,0.06642402801662683,1,1
50,10,14,12.043916182825342,0.034622970037162304,1,1
50,10,15,12.083819920895621,0.052643059054389596,1,1
50,10,16,11.906227270141244,0.054298052098602057,1,1
50,10,17,12.068036010954529,0.06269027199596167,1,1
50,10,18,12.319359881803393,0.053713903995230794,1,1
50,10,19,12.187555115902796,0.10964942188002169,1,1
50,10,20,12.145683971000835,0.06258725095540285,1,1
50,10,21,12.152878510998562,0.06840918492525816,1,1
50,10,22,12.278755336999893,0.04404130601324141,1,1
50,10,23,12.384471774101257,0.04053985606878996,1,1
50,10,24,12.311173147987574,0.09077125694602728,1,1
50,10,25,12.311878490960225,0.09020883007906377,1,1
50,10,26,12.221488940995187,0.05433849315159023,1,1
50,10,27,12.250032874988392,0.06650253594852984,1,1
50,10,28,12.136483629001305,0.04139767191372812,1,1
50,10,29,11.948344072094187,0.0650289359036833,1,1
50,10,30,11.687054801965132,0.057334668934345245,1,1
50,10,31,12.158703068969771,0.06474819197319448,1,1
50,10,32,11.843981083016843,0.05657627014443278,1,1
50,10,33,11.420295445015654,0.05219063488766551,1,1
50,10,34,11.332600669004023,0.025578729109838605,1,1
50,10,35,11.881789600010961,0.09579824307002127,1,1
50,10,36,11.71596083510667,0.06177721009589732,1,1
50,10,37,11.854546778136864,0.04704233095981181,1,1
50,10,38,11.712961349170655,0.06294812192209065,1,1
50,10,39,11.909849830903113,0.056478128070011735,1,1
50,10,40,11.736687326803803,0.04614470899105072,1,1
50,10,41,11.347452039830387,0.06533331796526909,1,1
50,10,42,11.264104343019426,0.041780245024710894,1,1
50,10,43,11.682277852902189,0.08071344904601574,1,1
50,10,44,11.530313559807837,0.053291683085262775,1,1
50,10,45,12.076411573914811,0.0783215758856386,1,1
50,10,46,11.740143200848252,0.040848894976079464,1,1
50,10,47,11.757059552939609,0.029837733134627342,1,1
50,10,48,11.134917194023728,0.07118826801888645,1,1
50,10,49,11.667826193850487,0.05923180188983679,1,1
50,10,50,11.774026472819969,0.06264335196465254,1,1
50,10,51,11.479346180101857,0.04686899087391794,1,1
50,10,52,12.075743226800114,0.08080828189849854,1,1
50,10,53,12.238169220043346,0.04750386718660593,1,1
50,10,54,11.637673740042374,0.04052604897879064,1,1
50,10,55,11.790619473904371,0.10678251320496202,1,1
50,10,56,11.380521678132936,0.047617350006476045,1,1
50,10,57,11.52338715014048,0.0500923718791455,1,1
50,10,58,11.614369580056518,0.052211100002750754,1,1
50,10,59,11.943612403003499,0.05935693392530084,1,1
50,10,60,12.148154363967478,0.09156772284768522,1,1
50,10,61,11.357649362878874,0.05222854786552489,1,1
50,10,62,12.198366743978113,0.058247479842975736,1,1
50,10,63,11.059355034027249,0.021282705012708902,1,1
50,10,64,11.20721257198602,0.06578689301386476,1,1
50,10,65,11.295121040195227,0.0672728989738971,1,1
50,10,66,11.211717806058004,0.07738673104904592,1,1
50,10,67,10.99647021992132,0.06286849500611424,1,1
50,10,68,11.516581246163696,0.028269647853448987,1,1
50,10,69,11.362546477932483,0.08108864910900593,1,1
50,10,70,11.50979367014952,0.05251394212245941,1,1
50,10,71,11.36713145696558,0.05874767201021314,1,1
50,10,72,11.293806164059788,0.07380633801221848,1,1
50,10,73,11.666223145090044,0.06050090887583792,1,1
50,10,74,11.404050106881186,0.07970445603132248,1,1
50,10,75,11.513546583941206,0.045383986085653305,1,1
50,10,76,11.056777718942612,0.04735129699110985,1,1
50,10,77,11.460204052040353,0.0708874340634793,1,1
50,10,78,11.424197540152818,0.034746500197798014,1,1
50,10,79,10.990493319928646,0.09146431786939502,1,1
50,10,80,10.966612015850842,0.03786042612046003,1,1
50,10,81,11.159384055994451,0.058621710166335106,1,1
50,10,82,11.433246697066352,0.05099368095397949,1,1
50,10,83,11.349944368004799,0.1017093991395086,1,1
50,10,84,11.307620321866125,0.04908668692223728,1,1
50,10,85,11.446195743978024,0.05035984516143799,1,1
50,10,86,11.08668212685734,0.06152951205149293,1,1
50,10,87,11.288078457815573,0.049128304002806544,1,1
50,10,88,11.314475002000108,0.046094406163319945,1,1
50,10,89,11.643280933145434,0.0548723500687629,1,1
50,10,90,11.289432470919564,0.058573713060468435,1,1
50,10,91,11.291831398848444,0.049145331140607595,1,1
50,10,92,11.218951693037525,0.04424142790958285,1,1
50,10,93,11.50154713797383,0.04787802696228027,1,1
50,10,94,11.271871995879337,0.055346095003187656,1,1
50,10,95,11.065155785065144,0.06257107388228178,1,1
50,10,96,11.330605756957084,0.04874566406942904,1,1
50,10,97,11.753161440836266,0.050767987966537476,1,1
50,10,98,11.10805909591727,0.03808604506775737,1,1
50,10,99,11.141547268955037,0.044227459002286196,1,1
