n,k,id,time_no_mu,time_mu,count_no_mu,count_mu
50,100,0,720.562396831112,4.793550208909437,1,1
50,100,1,687.5769301201217,9.201998620061204,1,1
50,100,2,649.5969344631303,5.484919533831999,1,1
50,100,3,629.2968067580368,4.404083650792018,1,1
50,100,4,649.7023690068163,6.35225630691275,1,1
50,100,5,668.8970292520244,5.9540624839719385,1,1
50,100,6,769.9014419580344,6.798949623014778,1,1
50,100,7,725.0809270779137,6.122291299980134,1,1
50,100,8,682.2988255890086,4.140331109054387,1,1
50,100,9,685.4693585159257,7.659991478081793,1,1
50,100,10,692.2410868641455,5.375288208946586,1,1
50,100,11,627.6008531521074,4.267363399965689,1,1
50,100,12,681.8792056229431,7.76622722693719,1,1
50,100,13,668.0155782599468,4.566239069914445,1,1
50,100,14,673.3427482589614,10.147086965152994,1,1
50,100,15,656.1067671719939,5.274877788033336,1,1
50,100,16,710.128335129004,5.651784101035446,1,1
50,100,17,744.2993527208455,8.276867036009207,1,1
50,100,18,732.5899642650038,4.938354494050145,1,1
50,100,19,708.5870820349082,8.217136223101988,1,1
