n,k,id1,id2,time_no_mu,time_mu
50,1000,0,0,300.90262975892983,4.837955533992499
50,1000,0,1,0.041436705039814115,0.09292759792879224
50,1000,0,2,0.041575059993192554,0.09153023199178278
50,1000,0,3,0.04841469204984605,0.10674596717581153
50,1000,0,4,0.0475153389852494,0.1086698709987104
50,1000,0,5,0.048211666056886315,0.15744661004282534
50,1000,0,6,0.051217291969805956,0.10407349094748497
50,1000,0,7,0.048908614087849855,0.10711615206673741
50,1000,0,8,0.04663916793651879,0.10907124006189406
50,1000,0,9,0.04744269489310682,0.14081136812455952
50,1000,0,10,0.047225454822182655,0.10605227388441563
50,1000,0,11,0.04823166620917618,0.10550495120696723
50,1000,0,12,0.04943738994188607,0.10791082610376179
50,1000,0,13,0.09037896106019616,0.10691033978946507
50,1000,0,14,0.04827648191712797,0.10522927716374397
50,1000,0,15,0.04886142094619572,0.10715504083782434
50,1000,0,16,0.04970022104680538,0.10571561916731298
50,1000,0,17,0.048326018964871764,0.10977283702231944
50,1000,0,18,0.04616713896393776,0.10763968201354146
50,1000,0,19,0.04157620598562062,0.09302270482294261
50,1000,0,20,0.042523706099018455,0.09297527791932225
50,1000,0,21,0.04340735892765224,0.09361604391597211
50,1000,0,22,0.041828267043456435,0.0925130199175328
50,1000,0,23,0.041819188045337796,0.09259268990717828
50,1000,0,24,0.04728128691203892,0.148839320987463
50,1000,0,25,0.04573961300775409,0.09209351614117622
50,1000,0,26,0.04085019789636135,0.09259302285499871
50,1000,0,27,0.04208775400184095,0.08290441101416945
50,1000,0,28,0.03810636303387582,0.11567578301765025
50,1000,0,29,0.042611059034243226,0.09375100815668702
50,1000,0,30,0.04220476094633341,0.09282189281657338
50,1000,0,31,0.04174333391711116,0.09231409290805459
50,1000,0,32,0.07252620393410325,0.08026671502739191
50,1000,0,33,0.0357451809104532,0.07752339099533856
50,1000,0,34,0.036544275004416704,0.07820588001050055
50,1000,0,35,0.035294597037136555,0.07877125195227563
50,1000,0,36,0.03503087512217462,0.07842350099235773
50,1000,0,37,0.039542818907648325,0.08745625196024776
50,1000,0,38,0.03691997309215367,0.08339133113622665
50,1000,0,39,0.035039693815633655,0.07786885788664222
50,1000,0,40,0.03583302814513445,0.07683995296247303
50,1000,0,41,0.03706402098760009,0.07616122299805284
50,1000,0,42,0.03467947500757873,0.0755168239120394
50,1000,0,43,0.033986008958891034,0.11721971700899303
50,1000,0,44,0.03602515603415668,0.07350568915717304
50,1000,0,45,0.035708256997168064,0.07939503691159189
50,1000,0,46,0.03374606603756547,0.07618959806859493
50,1000,0,47,0.03404304385185242,0.10399253200739622
50,1000,0,48,0.03431966598145664,0.07465510698966682
50,1000,0,49,0.0349390918854624,0.07852856907993555
50,1000,1,1,288.0140442890115,4.9331665800418705
50,1000,1,2,0.0617131139151752,0.08607571385800838
50,1000,1,3,0.0509473558049649,0.10862087504938245
50,1000,1,4,0.05046895518898964,0.11193995899520814
50,1000,1,5,0.049488659016788006,0.11166980699636042
50,1000,1,6,0.053359763929620385,0.10986004397273064
50,1000,1,7,0.03740128013305366,0.0825537289492786
50,1000,1,8,0.04055849206633866,0.0908411939162761
50,1000,1,9,0.048921264009550214,0.10952593619003892
50,1000,1,10,0.04806202813051641,0.109331747982651
50,1000,1,11,0.05019226996228099,0.10718752001412213
50,1000,1,12,0.04979104408994317,0.09500685217790306
50,1000,1,13,0.04065852193161845,0.11627816292457283
50,1000,1,14,0.05530882999300957,0.10713496408425272
50,1000,1,15,0.05104626901447773,0.10835336404852569
50,1000,1,16,0.05355197889730334,0.11200407310388982
50,1000,1,17,0.12438220693729818,0.11288492614403367
50,1000,1,18,0.03840814996510744,0.08273718506097794
50,1000,1,19,0.03917172993533313,0.08399729104712605
50,1000,1,20,0.036190837854519486,0.08578474191017449
50,1000,1,21,0.06231924798339605,0.07598170102573931
50,1000,1,22,0.03747217613272369,0.08256379002705216
50,1000,1,23,0.03749202401377261,0.08141928305849433
50,1000,1,24,0.036476860055699944,0.07591669890098274
50,1000,1,25,0.037265332881361246,0.08130482281558216
50,1000,1,26,0.037157750921323895,0.08335518604144454
50,1000,1,27,0.03672301908954978,0.07412680797278881
50,1000,1,28,0.03381205420009792,0.07975457818247378
50,1000,1,29,0.03889496298506856,0.0851897350512445
50,1000,1,30,0.03489104378968477,0.08028862508945167
50,1000,1,31,0.03818649495951831,0.08127576485276222
50,1000,1,32,0.037194540025666356,0.1114911527838558
50,1000,1,33,0.03599177487194538,0.07926309504546225
50,1000,1,34,0.03834233502857387,0.08042320981621742
50,1000,1,35,0.04406336788088083,0.09704754478298128
50,1000,1,36,0.08166984398849308,0.07688341196626425
50,1000,1,37,0.03775838413275778,0.07935067196376622
50,1000,1,38,0.0351562281139195,0.08007794013246894
50,1000,1,39,0.0339366658590734,0.07724229106679559
50,1000,1,40,0.060359491035342216,0.07718603406101465
50,1000,1,41,0.038323296001181006,0.07799722906202078
50,1000,1,42,0.035360074834898114,0.08007081388495862
50,1000,1,43,0.035764757078140974,0.07654107012785971
50,1000,1,44,0.03813737607561052,0.08155065192840993
50,1000,1,45,0.03714920091442764,0.07755064312368631
50,1000,1,46,0.03496194211766124,0.07377097685821354
50,1000,1,47,0.033899601083248854,0.07548366510309279
50,1000,1,48,0.03452229895628989,0.07765317591838539
50,1000,1,49,0.034859525971114635,0.0788860460743308
50,1000,2,2,134.7252536099404,6.030983394011855
50,1000,2,3,0.04311942495405674,0.09382021799683571
50,1000,2,4,0.04424579511396587,0.09384911088272929
50,1000,2,5,0.04299947991967201,0.09594410913996398
