n,k,id1,id2,time_no_mu,time_mu
500,0,0,0,0.8758829438593239,0.890166207915172
500,0,0,1,0.019092582166194916,0.14484607987105846
500,0,0,2,0.019611403811722994,0.147179702995345
500,0,0,3,0.01887034485116601,0.15040817996487021
500,0,0,4,0.019721351098269224,0.15089820395223796
500,0,0,5,0.022477000020444393,0.14797645201906562
500,0,0,6,0.054426832823082805,0.14525701594538987
500,0,0,7,0.018768902868032455,0.1454639220610261
500,0,0,8,0.019661201164126396,0.14893223601393402
500,0,0,9,0.01985040702857077,0.1509946510195732
500,0,0,10,0.019318423001095653,0.15111252292990685
500,0,0,11,0.021029348019510508,0.1482965610921383
500,0,0,12,0.02327049896121025,0.1484250428620726
500,0,0,13,0.019524648087099195,0.14903524611145258
500,0,0,14,0.01956537296064198,0.15093065705150366
500,0,0,15,0.019390116911381483,0.187048580031842
500,0,0,16,0.01962798018939793,0.15162537805736065
500,0,0,17,0.02273936104029417,0.14911636617034674
500,0,0,18,0.02399323391728103,0.14863334503024817
500,0,0,19,0.019853872945532203,0.14790704799816012
500,0,0,20,0.019495279993861914,0.15193655411712825
500,0,0,21,0.019632646813988686,0.15140703599900007
500,0,0,22,0.0197454618755728,0.1548390791285783
500,0,0,23,0.023189684143289924,0.15120718209072948
500,0,0,24,0.019461101852357388,0.14924835693091154
500,0,0,25,0.01962440786883235,0.1494742319919169
500,0,0,26,0.01935405796393752,0.15146739804185927
500,0,0,27,0.019289357122033834,0.15120116085745394
500,0,0,28,0.019755662884563208,0.15179586596786976
500,0,0,29,0.02303613582625985,0.14819341502152383
500,0,0,30,0.019257707055658102,0.14911497803404927
500,0,0,31,0.019742805045098066,0.1493486389517784
500,0,0,32,0.019327964168041945,0.14789031678810716
500,0,0,33,0.01929424679838121,0.15093546896241605
500,0,0,34,0.019266301998868585,0.18669669795781374
500,0,0,35,0.02286693104542792,0.14910404104739428
500,0,0,36,0.02416299213655293,0.15057061100378633
500,0,0,37,0.019727788167074323,0.14908563997596502
500,0,0,38,0.01944585214368999,0.15187359997071326
500,0,0,39,0.019660809077322483,0.1514243350829929
500,0,0,40,0.0197183839045465,0.15137731190770864
500,0,0,41,0.02252126415260136,0.1489723559934646
500,0,0,42,0.02382752113044262,0.14849929208867252
500,0,0,43,0.01956410612910986,0.14828859106637537
500,0,0,44,0.019642289960756898,0.1490304039325565
500,0,0,45,0.017957196105271578,0.13911545905284584
500,0,0,46,0.017807530937716365,0.13729426986537874
500,0,0,47,0.020688113057985902,0.13759717089124024
500,0,0,48,0.02296656183898449,0.13763073179870844
500,0,0,49,0.018255956936627626,0.1376366359181702
500,0,1,1,0.803750776918605,0.8622851930558681
500,0,1,2,0.023008872056379914,0.14876628993079066
500,0,1,3,0.019598945043981075,0.14959525992162526
500,0,1,4,0.020301267970353365,0.14903922798112035
500,0,1,5,0.019804480019956827,0.15226449607871473
500,0,1,6,0.021236011991277337,0.15134644601494074
500,0,1,7,0.01955164992250502,0.1538684731349349
500,0,1,8,0.022819781908765435,0.1482035422232002
500,0,1,9,0.019465717021375895,0.14827547501772642
500,0,1,10,0.019443915924057364,0.14846884203143418
500,0,1,11,0.01913804397918284,0.14562884299084544
500,0,1,12,0.01774670509621501,0.13931554509326816
500,0,1,13,0.021070629823952913,0.1701900060288608
500,0,1,14,0.02106378087773919,0.13585774204693735
500,0,1,15,0.017728552920743823,0.13551081088371575
500,0,1,16,0.01767165190540254,0.13862772402353585
500,0,1,17,0.01821379689499736,0.13792355102486908
500,0,1,18,0.01765671605244279,0.13803030410781503
500,0,1,19,0.020313585875555873,0.13585119904018939
500,0,1,20,0.018108441028743982,0.1355673810467124
500,0,1,21,0.017956015886738896,0.13817486795596778
500,0,1,22,0.018038386944681406,0.17546711885370314
500,0,1,23,0.017852078890427947,0.13802184187807143
500,0,1,24,0.01799694006331265,0.13797579100355506
500,0,1,25,0.02067712089046836,0.13589186104945838
500,0,1,26,0.017575914040207863,0.1355020310729742
500,0,1,27,0.0176286690402776,0.13797310600057244
500,0,1,28,0.01804676908068359,0.13960448699072003
500,0,1,29,0.018758447840809822,0.14263188606128097
500,0,1,30,0.021102760918438435,0.14090103493072093
500,0,1,31,0.022132097044959664,0.1375832490157336
500,0,1,32,0.018828963162377477,0.13746212399564683
500,0,1,33,0.018127481918781996,0.13562067202292383
500,0,1,34,0.01868393295444548,0.14093035692349076
500,0,1,35,0.01839407393708825,0.1412893789820373
500,0,1,36,0.018269978929311037,0.14014795795083046
500,0,1,37,0.02157808397896588,0.13839665707200766
500,0,1,38,0.017614161130040884,0.13601888995617628
500,0,1,39,0.017445662058889866,0.1357424499001354
500,0,1,40,0.01843126490712166,0.14055958110839128
500,0,1,41,0.018620839808136225,0.1753138571511954
500,0,1,42,0.018399927066639066,0.14136620284989476
500,0,1,43,0.02111584204249084,0.13820608891546726
500,0,1,44,0.017806696007028222,0.13521043886430562
500,0,1,45,0.017971327994018793,0.136114661116153
500,0,1,46,0.017877798061817884,0.13793802098371089
500,0,1,47,0.018222440034151077,0.13812912884168327
500,0,1,48,0.021432437002658844,0.13499955111183226
500,0,1,49,0.02142263692803681,0.13565668696537614
500,0,2,2,0.8882997350301594,0.9096770160831511
500,0,2,3,0.018169831950217485,0.13796431408263743
500,0,2,4,0.020922322990372777,0.1361962929368019
500,0,2,5,0.018093142891302705,0.13573220698162913
500,0,2,6,0.018819459015503526,0.1356960330158472
500,0,2,7,0.01785225491039455,0.14068359113298357
500,0,2,8,0.018485816894099116,0.13974268594756722
500,0,2,9,0.018739026971161366,0.15315609611570835
500,0,2,10,0.02459028293378651,0.15452342620119452
500,0,2,11,0.01984994695521891,0.15121269202791154
500,0,2,12,0.020810090005397797,0.15369183802977204
500,0,2,13,0.02073030616156757,0.1574615892022848
500,0,2,14,0.021366758970543742,0.15667397482320666
500,0,2,15,0.02036099205724895,0.15512852603569627
500,0,2,16,0.02348538301885128,0.1486814459785819
500,0,2,17,0.020208274014294147,0.14774484490044415
500,0,2,18,0.018488558940589428,0.13565266993828118
500,0,2,19,0.017555625876411796,0.1373529878910631
500,0,2,20,0.01823563687503338,0.14063442405313253
500,0,2,21,0.05681246588937938,0.14136248105205595
500,0,2,22,0.02549967006780207,0.15466101909987628
500,0,2,23,0.020470343995839357,0.15253896987996995
500,0,2,24,0.020458548795431852,0.15793344797566533
500,0,2,25,0.020753877935931087,0.15849026292562485
500,0,2,26,0.02089216304011643,0.15854835999198258
500,0,2,27,0.024185240035876632,0.15320546505972743
500,0,2,28,0.020769544877111912,0.15294754109345376
500,0,2,29,0.020228303968906403,0.1502959500066936
500,0,2,30,0.018184668151661754,0.17031566589139402
500,0,2,31,0.01805998687632382,0.13787361304275692
500,0,2,32,0.018507143948227167,0.1399404921103269
500,0,2,33,0.021307792980223894,0.13854559208266437
500,0,2,34,0.0255754292011261,0.15277834399603307
500,0,2,35,0.02049923501908779,0.15324650588445365
500,0,2,36,0.018196152988821268,0.13879571994766593
500,0,2,37,0.018524739891290665,0.13959731091745198
500,0,2,38,0.01806919602677226,0.1421713400632143
500,0,2,39,0.022265559062361717,0.1378552990499884
500,0,2,40,0.07344440300948918,0.13683638884685934
500,0,2,41,0.01861728890798986,0.13847632496617734
500,0,2,42,0.016811039065942168,0.1259387938771397
500,0,2,43,0.01621669507585466,0.12332139303907752
500,0,2,44,0.01658027688972652,0.12608001590706408
500,0,2,45,0.01913063693791628,0.12405149801634252
500,0,2,46,0.01607383694499731,0.12274282006546855
500,0,2,47,0.016540446784347296,0.12534247688017786
500,0,2,48,0.0182303951587528,0.1360235728789121
500,0,2,49,0.015875112963840365,0.15122775896452367
500,0,3,3,0.7237102589569986,0.7770882931072265
500,0,3,4,0.01782664400525391,0.13237651297822595
500,0,3,5,0.01574439089745283,0.12357207108289003
500,0,3,6,0.017089507076889277,0.12370720598846674
500,0,3,7,0.016387272160500288,0.1292585739865899
500,0,3,8,0.0195439369417727,0.12423862586729228
500,0,3,9,0.01657248311676085,0.1252489979378879
500,0,3,10,0.01955510792322457,0.13713641511276364
500,0,3,11,0.01916365302167833,0.1863183609675616
500,0,3,12,0.01768612116575241,0.13729421002790332
500,0,3,13,0.017998609924688935,0.13732148800045252
500,0,3,14,0.021992551861330867,0.13777364697307348
500,0,3,15,0.01820022496394813,0.13762325001880527
500,0,3,16,0.018057363806292415,0.13949144398793578
500,0,3,17,0.018312789034098387,0.1476718250196427
500,0,3,18,0.01585455797612667,0.12490811804309487
500,0,3,19,0.01997778913937509,0.12189799407497048
500,0,3,20,0.016436834819614887,0.12269720691256225
500,0,3,21,0.016136846039444208,0.12373154587112367
500,0,3,22,0.018000051844865084,0.13990132696926594
500,0,3,23,0.01954538794234395,0.15115930302999914
500,0,3,24,0.019579504150897264,0.15064971009269357
500,0,3,25,0.02038662089034915,0.13457479793578386
500,0,3,26,0.017394104972481728,0.13613284612074494
500,0,3,27,0.017876456025987864,0.13891633204184473
500,0,3,28,0.01813101884908974,0.13908320106565952
500,0,3,29,0.018677901942282915,0.14192263106815517
500,0,3,30,0.02258818200789392,0.19657555199228227
500,0,3,31,0.02073925407603383,0.1348829329945147
500,0,3,32,0.016153506003320217,0.1202720538713038
500,0,3,33,0.016042727045714855,0.11986895184963942
500,0,3,34,0.015951324021443725,0.12250779801979661
500,0,3,35,0.0161456938367337,0.12187598505988717
500,0,3,36,0.0158073459751904,0.12203365098685026
500,0,3,37,0.018424953101202846,0.11936292005702853
500,0,3,38,0.01553496508859098,0.12011046893894672
500,0,3,39,0.01727267005480826,0.13248445000499487
500,0,3,40,0.017782656010240316,0.13778552087023854
500,0,3,41,0.01820661616511643,0.13700994104146957
500,0,3,42,0.017709857085719705,0.13656771089881659
500,0,3,43,0.020410258090123534,0.1342952298000455
500,0,3,44,0.01738986000418663,0.13349509402178228
500,0,3,45,0.01750476099550724,0.1348054448608309
500,0,3,46,0.017583399079740047,0.13619213597849011
500,0,3,47,0.01770246890373528,0.1361261389683932
500,0,3,48,0.020970530109480023,0.13548177620396018
500,0,3,49,0.060012351954355836,0.13706772099249065
500,0,4,4,0.7980509689077735,0.8430997251998633
500,0,4,5,0.01759181311354041,0.13675784994848073
500,0,4,6,0.02101884107105434,0.1341850410681218
